,Document,Similarity_topic2
180,23060582,0.6480843138537465
73,18242762,0.6445730062827763
249,25708242,0.6352078414578414
225,24982409,0.6174539564871229
118,20183914,0.6174265379228614
174,22913857,0.6145159321831359
154,22124476,0.6097204887729619
95,19032370,0.6075822401998872
195,23617234,0.6063940282375332
133,21107285,0.6041442832338403
121,20418096,0.5970454429306238
98,19170230,0.5941992438598772
236,25373537,0.5931048485827897
56,17548322,0.5922597010832304
294,27322143,0.590856620425948
273,26505450,0.5886914187618844
186,23341890,0.5848053595004814
193,23533259,0.5841926649202189
175,22964709,0.5827579754333148
198,23714228,0.5827377561023606
220,24885803,0.580098913914621
106,19667264,0.5798168841119915
205,24300132,0.5783349883824567
132,20979469,0.5732547672996129
104,19386350,0.5721181285804318
256,25839699,0.5717052075604707
190,23453647,0.5713770959317769
245,25676400,0.5710776526591376
251,25735977,0.5702687876541316
206,24361161,0.5660626002537766
223,24935562,0.5658710593146867
148,21757253,0.5652399483567387
149,21933750,0.564468720821662
126,20624322,0.5635289960181026
81,18414414,0.5620711550613511
196,23664446,0.5553811757602325
89,18594010,0.5549048531125735
79,18407408,0.55400205925416
280,26710868,0.5526335933822565
208,24419423,0.5523973208755817
302,27760592,0.5499715917647606
207,24369725,0.5497691128269221
263,26019170,0.5473830173094878
310,AACR_2013-5591,0.5469976040730757
247,25704901,0.5468026167343394
130,20935334,0.5467255205829865
200,23769348,0.5461129979920829
274,26514492,0.5431372443022556
241,25581823,0.5425824175824177
135,21245935,0.5413677009265244
218,24853389,0.5411822960536194
213,24674157,0.5411615049462495
141,21420271,0.5410007827984501
168,22771825,0.5404196055850468
199,23769345,0.5391969290365012
165,22594847,0.539151691884352
115,20009909,0.5374220524362838
257,25910841,0.5373769132332051
69,18166835,0.5369328577339412
137,21336183,0.5349623933934905
232,25238939,0.5347946003767922
184,23302304,0.5333534699214069
36,16503086,0.533240083975378
240,25558790,0.532317555227219
253,25785456,0.5322601116315862
59,17625570,0.5319208247335836
97,19147828,0.5315505881413342
157,22296236,0.5294611434317316
127,20627894,0.5294101595572184
176,22986231,0.5285460548391582
63,17686547,0.5277236566964397
71,18192072,0.5275673515775325
248,25706305,0.5273186770208363
277,26603857,0.5239681803268033
145,21656749,0.523480351547066
125,20552223,0.5200394843251985
234,25337876,0.518400945459769
93,18981003,0.5171017367708544
233,25265433,0.5161449966286961
183,23301645,0.516067878200231
